Date,Open,High,Low,Close,Volume,BTC-USD,"SMA(Close, 30)","SMA(Close, 50)","EMA(Close, 5)","EMA(Close, 20)",Strategy 1_signal,Strategy 2_signal,position,returns,gross_strategy_returns,trades,transaction_costs,strategy_returns,cumulative_returns,cumulative_market_returns,strategy_drawdown,market_drawdown
2020-01-01,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997,7200.17431640625,,,,,0,0,0.0,,,,,,,,,
2020-01-02,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465,6985.47021484375,,,7200.17431640625,7200.17431640625,0,0,0.0,-0.029819292162590716,-0.0,0.0,0.0,-0.0,1.0,0.9701807078374093,0.0,0.0
2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032,7344.88427734375,,,7128.606282552084,7179.726306733632,0,0,0.0,0.05145166344511276,0.0,0.0,0.0,0.0,1.0,1.020098119098001,0.0,0.0
2020-01-04,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275,7410.65673828125,,,7200.69894748264,7195.455637267929,0,0,0.0,0.008954866877941559,0.0,0.0,0.0,0.0,1.0,1.0292329619569622,0.0,0.0
2020-01-05,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095,7411.3173828125,,,7270.684877748843,7215.950980221578,0,0,0.0,8.914790612779555e-05,0.0,0.0,0.0,0.0,1.0,1.0293247159204384,0.0,0.0
2020-01-06,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,7769.21923828125,,,7317.562379436729,7234.557304277856,0,0,0.0,0.04829126010697582,0.0,0.0,0.0,0.0,1.0,1.0790321035114914,0.0,0.0
2020-01-07,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,8163.6923828125,,,7468.114665718237,7285.477488468656,0,0,0.0,0.050773846435889336,0.0,0.0,0.0,0.0,1.0,1.1338187138345786,0.0,0.0
2020-01-08,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,8079.86279296875,,,7699.973904749659,7369.117002215688,0,0,0.0,-0.010268587535248286,-0.0,0.0,0.0,-0.0,1.0,1.1221759971224656,0.0,0.010268587535248175
2020-01-09,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,7879.0712890625,,,7826.603534156023,7436.807077525504,0,0,0.0,-0.024850855645838776,-0.0,0.0,0.0,-0.0,1.0,1.09428896340875,0.0,0.034864259994561886
2020-01-10,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,8166.55419921875,,,7844.092785791516,7478.927478624265,0,0,0.0,0.03648690303834745,0.0,0.0,0.0,0.0,1.0,1.1342161787125788,0.0,0.0
2020-01-11,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085,8037.53759765625,,,7951.579923600595,7544.415737728501,0,0,0.0,-0.015798168776598898,-0.0,0.0,0.0,-0.0,1.0,1.1162976400921285,0.0,0.015798168776598898
2020-01-12,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381,8192.494140625,,,7980.232481619148,7591.379724388286,0,0,0.0,0.019279106453440997,0.0,0.0,0.0,0.0,1.0,1.1378188611291895,0.0,0.0
2020-01-13,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688,8144.1943359375,,,8050.986367954432,7648.628716410831,0,0,0.0,-0.005895616628883604,-0.0,0.0,0.0,-0.0,1.0,1.1311107173308588,0.0,0.005895616628883715
2020-01-14,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107,8827.7646484375,,,8082.055690615455,7695.825442080038,0,0,0.0,0.08393344808628167,0.0,0.0,0.0,0.0,1.0,1.2260487400037852,0.0,0.0
2020-01-15,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650,8807.0107421875,,,8330.625343222804,7803.629176018843,0,0,0.0,-0.002350980919464507,-0.0,0.0,0.0,-0.0,1.0,1.2231663228097027,0.0,0.002350980919464507
2020-01-16,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931,8723.7861328125,,,8489.420476211037,7899.189325177763,0,0,0.0,-0.009449813541879348,-0.0,0.0,0.0,-0.0,1.0,1.2116076291284448,0.0,0.011778578130014483
